3380769710267921	train	1
3384830802688153	test	1
3439074688233106	valid	1
3450579366230330	valid	1
3450726141867345	test	1
3450979225739211	test	1
3451002605055463	test	1
3451018115451619	test	1
3451103985730717	test	1
3451129431622569	train	1
3451628302743744	train	1
3451700725809475	train	1
3451763313288902	train	1
3451776512506518	train	1
3451804916598743	test	1
3451993555334994	train	1
3452401115729655	train	1
3452422104224738	test	1
3452585295767362	train	1
3452749566135833	train	1
3452816289050025	train	1
3453249292186339	test	1
3453254178451240	test	1
3453529848897130	test	1
3453629262608984	valid	1
3453646882841201	train	1
3453648917254902	train	1
3453656936899673	train	1
3453724347000346	train	1
3453751748249165	train	1
3453876256653682	train	1
3455278454240838	train	1
3456465409077567	test	1
3457259298831551	train	1
3457489054090868	train	1
3457514660417305	test	1
3457544725440578	test	1
3457667438187103	train	1
3458052025942521	test	1
3458669587201006	train	1
3458738764029954	valid	1
3459334459624330	train	1
3459357758498843	train	1
3459740535540538	train	1
3459815982979427	train	1
3459832608839195	train	1
3460033088473902	valid	1
3460099291076843	train	1
3460120078103292	train	1
3460423922214684	train	1
3460765430715791	train	1
3460926948878274	train	1
3460949862662930	train	1
3461174400099598	train	1
3461286073804550	test	1
3461472963536204	train	1
3462028758396843	train	1
3462241045247233	test	1
3462269600134003	train	1
3462314206355790	train	1
3462406581455464	train	1
3462631686024448	train	1
3463033320068479	train	1
3463354599350536	test	1
3463383384889228	test	1
3463748465856807	train	1
3464018427519249	train	1
3464577842643036	train	1
3464795539399307	train	1
3464863219571406	train	1
3465261540071546	train	1
3465431811448820	train	1
3465489823435657	valid	1
3465560953888712	train	1
3466379833885944	train	1
3466383893751691	train	1
3466394455200104	train	1
3466520317638916	train	1
3466612034303761	train	1
3466827423840165	train	1
3466971306049026	train	1
3467042764416381	train	1
3467177711706173	train	1
3467313531656873	train	1
3467319629648250	train	1
3467339707835025	train	1
3467503021549628	train	1
3467670500179486	train	1
3467683653853858	train	1
3467713144163394	test	1
3467722987620920	train	1
3467814281671436	test	1
3467825798695815	train	1
3467853414356180	train	1
3467962981293648	train	1
3467971114711957	train	1
